Index, Confirmed Case
1,555
2,654
3,941
4,1434
5,2118
6,2927
7,5578
8,6166
9,8234
10,9927
11,12038
12,16787
13,19881
14,23892
15,27635
16,30794
17,34391
18,37120
19,40150
20,42762
21,44802
22,45221
23,60368
24,66885
25,69030
26,71224
27,73258
28,75136
29,75639
30,76197
31,76819
32,78572
33,78958
34,79561
35,80406
36,81388
37,82746
38,84112
39,86011
40,88369
41,90306
42,92840
43,95120
44,97882
45,101794
46,105831
47,109805
48,113571
49,118602
50,125875
51,128353
52,145209
53,156104
54,167454
55,181573
56,197150
57,214909
58,242706
59,272164
60,304519
61,337089
62,378547